HallTicket, Name, English, Hindi, Telugu, Maths, Science, Social
36716, Naomi Hills DVM, 34, 54, 67, 65, 69, 73
27883, Freeman Ryan, 72, 69, 73, 68, 39, 93
21221, Keanu Hyatt, 48, 80, 94, 71, 75, 56
56464, Mr. Penelope Rogahn, 62, 30, 85, 44, 53, 47
34554, Mike Spencer, 60, 47, 43, 77, 73, 72
28685, Ned Tremblay, 40, 63, 64, 45, 32, 93
96477, Watson Marquardt, 37, 67, 82, 59, 31, 30
66085, Vallie Johns, 66, 99, 74, 85, 34, 30
52996, Mr. Madonna Mosciski, 94, 85, 56, 78, 36, 56
26715, Miss Sallie Purdy, 72, 32, 72, 43, 96, 35
14924, Beaulah Breitenberg, 86, 58, 41, 37, 94, 89
77928, Donato Hermiston, 92, 96, 87, 73, 77, 73
40165, Alfred Murazik, 72, 56, 49, 62, 56, 70
2870, Miss Donato Klocko, 30, 34, 63, 40, 92, 56
5787, Leonora Goyette I, 89, 86, 57, 41, 32, 75
72176, Myrl Langosh, 53, 49, 71, 89, 79, 74
31193, Claudine Schmitt, 65, 64, 57, 83, 32, 62
19290, Johann Feeney, 35, 89, 80, 69, 52, 62
78644, Pansy Carter, 78, 66, 84, 80, 60, 84
53052, Shayna Buckridge, 77, 63, 90, 40, 86, 30
19004, Giovanna Hahn, 73, 85, 68, 60, 42, 55
49147, Dr. Leslie Torp, 99, 32, 52, 89, 57, 76
34053, Dr. Claud Gottlieb, 36, 84, 86, 51, 43, 49
38415, Jarvis Daugherty, 57, 67, 54, 89, 86, 79
14503, Mrs. Donald Ward, 78, 46, 86, 77, 60, 51
14578, Brenda Hartmann, 31, 32, 46, 71, 55, 86
51218, Jerrold Kilback, 50, 49, 36, 93, 42, 57
35635, April Marvin, 83, 91, 93, 68, 63, 78
93850, Briana Dickinson II, 65, 80, 83, 59, 53, 81
45082, Evert Pouros, 60, 97, 57, 43, 68, 44
88902, Otis Corwin, 63, 32, 44, 66, 56, 98
23778, Margot Mills, 74, 40, 76, 31, 88, 36
9441, Liza Rempel, 62, 35, 82, 82, 52, 37
